date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:46:00	69027/69027	---M-Z	200	added ('OK')	text/html	etag:W/%22645b7f71-10da3%22	https://scikit-learn.org/stable/user_guide.html	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/user_guide.html	(from )
12:46:00	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264556a8c-247b%22	https://scikit-learn.org/robots.txt		(from )
12:46:00	5468/5468	---M--	200	added ('OK')	image/png	etag:%22645b7f70-155c%22	https://scikit-learn.org/stable/_static/scikit-learn-logo-small.png	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/_static/scikit-learn-logo-small.png	(from https://scikit-learn.org/stable/user_guide.html)
12:46:00	2238/2238	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22645b7f70-8be%22	https://scikit-learn.org/stable/_static/favicon.ico	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/_static/favicon.ico	(from https://scikit-learn.org/stable/user_guide.html)
12:46:01	155712/155712	---M-Z	200	added ('OK')	text/css	etag:W/%22645b7f70-26040%22	https://scikit-learn.org/stable/_static/css/vendor/bootstrap.min.css	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/_static/css/vendor/bootstrap.min.css	(from https://scikit-learn.org/stable/user_guide.html)
12:46:01	4846/4846	---M-Z	200	added ('OK')	text/css	etag:W/%22645b7f70-12ee%22	https://scikit-learn.org/stable/_static/pygments.css	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/_static/pygments.css	(from https://scikit-learn.org/stable/user_guide.html)
12:46:01	25053/25053	---M-Z	200	added ('OK')	text/css	etag:W/%22645b7f70-61dd%22	https://scikit-learn.org/stable/_static/css/theme.css	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/_static/css/theme.css	(from https://scikit-learn.org/stable/user_guide.html)
12:46:01	318/318	---M-Z	200	added ('OK')	text/css	etag:W/%22645b7f70-13e%22	https://scikit-learn.org/stable/_static/plot_directive.css	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/_static/plot_directive.css	(from https://scikit-learn.org/stable/user_guide.html)
12:46:01	9530/9530	---M-Z	200	added ('OK')	text/css	etag:W/%22645b7f70-253a%22	https://scikit-learn.org/stable/_static/sg_gallery.css	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/_static/sg_gallery.css	(from https://scikit-learn.org/stable/user_guide.html)
12:46:02	101/101	---M--	200	added ('OK')	text/css	etag:%22645b7f70-65%22	https://scikit-learn.org/stable/_static/sg_gallery-binder.css	C:/Users/Stoff/Desktop/Documentation/SKLEARN-user_guide/scikit-learn.org/stable/_static/sg_gallery-binder.css	(from https://scikit-learn.org/stable/user_guide.html)
