date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:01:24	231749/231749	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:23%20GMT	https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6.html	(from )
13:01:24	202/202	---MCZ	200	added ('OK')	text/plain	etag:W/%222f301355760e36a48c5e977b907f7d71%22	https://medium.com/robots.txt		(from )
13:01:25	23981/23981	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20May%202023%2011:01:25%20GMT	https://medium.com/data-breach/android-app://com.medium.reader/https/medium.com/p/32a88850b3f6	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/android-app_/com.medium.reader/https/medium.com/p/32a88850b3f6	(from https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6)
13:01:28	253968/253968	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:26%20GMT	https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40655a.html	(from https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6)
13:01:28	253968/253968	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:27%20GMT	https://medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40?source=author_recirc-----32a88850b3f6----0---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-sift-scale-invariant-feature-transform-65d7f3a72d40d5e3.html	(from https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6)
13:01:30	247390/247390	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:29%20GMT	https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e1ee7.html	(from https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6)
13:01:30	247390/247390	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:28%20GMT	https://medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e?source=author_recirc-----32a88850b3f6----1---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-surf-speeded-up-robust-features-c7396d6e7c4e3881.html	(from https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6)
13:01:31	265517/265517	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:30%20GMT	https://medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cf?source=author_recirc-----32a88850b3f6----2---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cfd835.html	(from https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6)
13:01:34	265517/265517	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:31%20GMT	https://medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cf?source=author_recirc-----32a88850b3f6----2---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------&responsesOpen=true&sortBy=REVERSE_CHRON	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-orb-oriented-fast-and-rotated-brief-4220e8ec40cfe358.html	(from https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6)
13:01:34	241391/241391	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20May%202023%2011:01:32%20GMT	https://medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d?source=author_recirc-----32a88850b3f6----3---------------------a726119f_4335_4a45_b91b_22cfb319b94a-------	/home/magnus/websites/Harris%20Corner%20Detection/medium.com/data-breach/introduction-to-feature-detection-and-matching-65e27179885d2434.html	(from https://medium.com/data-breach/introduction-to-harris-corner-detector-32a88850b3f6)
